"Contract_ID","Project_ID","Project_Name","Ownership","Developer","Address","ZIP","Parcel_ID","Council_District","Unit_Type","Housing_Tenure","Development_Status","Total_Units","Affordable_Units","Total_ADA_Units","PSH_Units","MFI_20","MFI_30","MFI_40","MFI_50","MFI_60","MFI_65","MFI_70","MFI_80","MFI_100","MFI_120","Affordability_Start_Date","Affordability_Expiration_Date","Affordability_Period","FIL_Status","CAL_FIL","Date_FIL_Recorded","HDA","Private_Activity_Bonds","Affordability_Unlocked","SMART","Dev_Agreement","Density_Bonus","FIL","LIHTC","GO_Bonds_2006","GO_Bonds_2013","GO_Bonds_2018","GO_Bonds_2022","CDBG","CIP_Funds","HOME","HTF","Project_Connect","City_Subsidy","Longitude","Latitude"
"599","5383","Riverside ""Snoopy"" PUD","Stream Realty Partners LP","Stream Realty","401 S 1st Street","78704","0203000503","9","Non-Residential","Rental","Project Completed","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"12-30-3799","0","Paid","$1,456,932","12-05-2022",,"No","No","No","PUD Development Agreement",,"Yes",,,,,,,,,,,,"-97.749352","30.259236"
"834","5920","Springdale Green PUD","AUS SPRINGDALE LLC","Kimley-Horn","1011 and 1017 Springdale Rd","78721","0205170105","3","Non-Residential","Non-Residential","Project Completed","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"12-30-3799","0","Paid","$687,729","06-07-2024",,"No","No","No","PUD Development Agreement",,"Yes",,,,,,,,,,,,"-97.69459","30.26622"
"264","4674","Urbana East (Goodnight Ranch)","Bradsher Family Trust and MVE Ventures LTD","Momark Development LLC","9005 Alderman Drive","78747","0436030302","2","Single Family","Rental","Project Completed","56","0","0","0","0","0","0","0","0","0","0","0","0","0",,"12-30-3799","0",,,,,"No","No","Yes","PUD Development Agreement","PUD Density Bonus","No",,,,,,,,,,,,"-97.761491","30.152286"
"264","4675","Urbana West (Goodnight Ranch)","Bradsher Family Trust and MVE Ventures LTD","Momark Development LLC","9004 Alderman Drive","78747","0436030302","2","Single Family","Rental","Project Completed","14","0","0","0","0","0","0","0","0","0","0","0","0","0",,"12-30-3799","0",,,,,"No","No","Yes","PUD Development Agreement",,"No",,,,,,,,,,,,"-97.762104","30.152715"
"264","4688","Nexus at Goodnight Ranch","Bradsher Family Trust and MVE Ventures LTD","Momark Development LLC","2001 E Slaughter Lane","78747","0439080522","2","Multifamily","Rental","Affordability Period Expired","294","0","0","0","0","0","0","0","0","0","0","0","0","0","03-15-2023","03-15-2023","0",,,,,"No","No","Yes","PUD Development Agreement",,"No",,,,,,,,,,,,"-97.763814","30.151251"
"307","5381","Meritage Homes - SF - Section 1 (Pilot Knob PUD)","Carma Easton LLC","Carma Easton LLC","Multiple Addresses","78744","0332100625","2","Single Family","Ownership","Project Completed","263","149","0","0","0","0","0","0","0","0","0","149","0","0","12-16-2022","12-16-2023","1",,,,,"No","No","No","Municipal Utility District;PUD Development Agreement",,"No",,,,,,,,,,,,"-97.721746","30.163553"
"264","5397","Urbana Phase II (Goodnight Ranch)","Bradsher Family Trust and MVE Ventures LTD","Momark Development LLC","9005 Alderman Drive","78747","0436030302","2","Single Family","Rental","Project Completed","81","0","0","0","0","0","0","0","0","0","0","0","0","0",,"12-30-3799","0",,,,,"No","No","Yes","PUD Development Agreement",,"No",,,,,,,,,,,,"-97.75987282","30.15319824"
"307","5509","Pacesetter Homes - SF - Section 2 (Pilot Knob PUD)","Carma Easton LLC","Carma Easton LLC","Multiple Addresses","78744","0332100625","2","Single Family","Ownership","Under Construction","97","0","0","0","0","0","0","0","0","0","0","0","0","0",,"12-30-3799","0",,,,,"No","No","No","Municipal Utility District;PUD Development Agreement",,"No",,,,,,,,,,,,"-97.721746","30.163553"
"264","5539","LDG - Moonlight","Bradsher Family Trust and MVE Ventures LTD","Momark Development LLC","5204 Charles Merle Dr","78744","0436010107","2","Multifamily","Rental","Under Construction","264","132","0","0","0","0","0","0","0","0","0","132","0","0",,"12-30-1939","40",,,,,"No","No","Yes","PUD Development Agreement",,"No",,,,,,,,,,,,"-97.76153","30.15656"
"264","5562","EHT of Texas LP - SF-Phase 1-A Section 7 (Goodnight Ranch)","Bradsher Family Trust and MVE Ventures LTD","Momark Development LLC","Multiple Addresses","78747","0","2","Single Family","Ownership","Project Completed","51","0","0","0","0","0","0","0","0","0","0","0","0","0",,"12-30-3799","0",,,,,"No","No","Yes","PUD Development Agreement",,"No",,,,,,,,,,,,"-97.76102269","30.15446343"
